date,game_pk,time_utc,status,team,opp,home,prob_sp_id,prob_sp,opp_sp_id,opp_sp,lineup
2026-08-27,822694,2026-08-27T17:05:00Z,Final,COL,WSH,0,687312,Gabriel Hughes,663623,Jake Irvin,1:Jake McCarthy(DH) | 2:Cole Carrigg(CF) | 3:Willi Castro(3B) | 4:TJ Rumfield(1B) | 5:Connor Norby(2B) | 6:Troy Johnston(RF) | 7:Brett Sullivan(C) | 8:Zac Veen(LF) | 9:Ezequiel Tovar(SS)
2026-08-27,822694,2026-08-27T17:05:00Z,Final,WSH,COL,1,663623,Jake Irvin,687312,Gabriel Hughes,1:CJ Abrams(DH) | 2:Dylan Crews(RF) | 3:Andrés Chaparro(1B) | 4:Daylen Lile(LF) | 5:Brady House(3B) | 6:Keibert Ruiz(C) | 7:Jacob Young(CF) | 8:Jorbit Vivas(2B) | 9:Nasim Nuñez(SS)
2026-08-27,823014,2026-08-27T18:15:00Z,Final,BAL,STL,0,669432,Trevor Rogers,700669,Gordon Graceffo,1:Jackson Holliday(2B) | 2:Pete Alonso(DH) | 3:Gunnar Henderson(SS) | 4:Samuel Basallo(C) | 5:Christian Encarnacion-Strand(3B) | 6:Dylan Beavers(LF) | 7:Coby Mayo(1B) | 8:Colton Cowser(CF) | 9:Leody Taveras(RF)
2026-08-27,823014,2026-08-27T18:15:00Z,Final,STL,BAL,1,700669,Gordon Graceffo,669432,Trevor Rogers,1:José Fermín(SS) | 2:Iván Herrera(DH) | 3:Jordan Walker(RF) | 4:Alec Burleson(1B) | 5:Joshua Báez(LF) | 6:Blaze Jordan(3B) | 7:Ramón Urías(2B) | 8:Nathan Church(CF) | 9:Pedro Pagés(C)
2026-08-27,823503,2026-08-27T23:05:00Z,In Progress,HOU,NYY,0,669713,Hayden Wesneski,543037,Gerrit Cole,1:Jeremy Peña(SS) | 2:Yordan Alvarez(DH) | 3:Isaac Paredes(3B) | 4:Jose Altuve(2B) | 5:Daulton Varsho(CF) | 6:Christian Walker(1B) | 7:Yainer Diaz(C) | 8:Taylor Trammell(LF) | 9:Cam Smith(RF)
2026-08-27,823503,2026-08-27T23:05:00Z,In Progress,NYY,HOU,1,543037,Gerrit Cole,669713,Hayden Wesneski,1:Trent Grisham(CF) | 2:Ben Rice(DH) | 3:Luis García Jr.(1B) | 4:Cody Bellinger(LF) | 5:George Lombard Jr.(SS) | 6:Spencer Jones(RF) | 7:Jazz Chisholm Jr.(2B) | 8:Austin Wells(C) | 9:José Caballero(3B)
2026-08-27,822771,2026-08-27T23:07:00Z,In Progress,KC,TOR,0,702070,Noah Cameron,681293,Spencer Arrighetti,1:Carter Jensen(C) | 2:Bobby Witt Jr.(SS) | 3:Jac Caglianone(RF) | 4:Vinnie Pasquantino(1B) | 5:Salvador Perez(DH) | 6:Isaac Collins(2B) | 7:John Rave(LF) | 8:Josh Rojas(3B) | 9:Kyle Isbel(CF)
2026-08-27,822771,2026-08-27T23:07:00Z,In Progress,TOR,KC,1,681293,Spencer Arrighetti,702070,Noah Cameron,1:Charles McAdoo(2B) | 2:Vladimir Guerrero Jr.(1B) | 3:Alejandro Kirk(C) | 4:George Springer(DH) | 5:Kazuma Okamoto(3B) | 6:Ernie Clement(SS) | 7:Daz Cameron(LF) | 8:Myles Straw(CF) | 9:Nathan Lukes(RF)
2026-08-27,823581,2026-08-27T23:10:00Z,In Progress,MIL,NYM,0,694819,Jacob Misiorowski,640455,Sean Manaea,1:Jackson Chourio(LF) | 2:Luis Lara(CF) | 3:William Contreras(DH) | 4:Andrew Vaughn(1B) | 5:Gary Sánchez(C) | 6:Joey Ortiz(3B) | 7:Sal Frelick(RF) | 8:Cooper Pratt(SS) | 9:David Hamilton(2B)
2026-08-27,823581,2026-08-27T23:10:00Z,In Progress,NYM,MIL,1,640455,Sean Manaea,694819,Jacob Misiorowski,1:A.J. Ewing(CF) | 2:Francisco Lindor(SS) | 3:Carson Benge(RF) | 4:Luis Robert Jr.(LF) | 5:Jared Young(1B) | 6:Marcus Semien(2B) | 7:Brett Baty(3B) | 8:Christopher Morel(DH) | 9:Francisco Alvarez(C)
2026-08-27,824879,2026-08-27T23:15:00Z,In Progress,LAD,ATL,0,808967,Yoshinobu Yamamoto,519242,Chris Sale,1:Shohei Ohtani(DH) | 2:Tommy Edman(CF) | 3:Mookie Betts(SS) | 4:Freddie Freeman(1B) | 5:Teoscar Hernández(LF) | 6:Miguel Rojas(2B) | 7:Alex Call(RF) | 8:Enrique Hernández(3B) | 9:Ben Rortvedt(C)
2026-08-27,824879,2026-08-27T23:15:00Z,In Progress,ATL,LAD,1,519242,Chris Sale,808967,Yoshinobu Yamamoto,1:Drake Baldwin(C) | 2:Ozzie Albies(2B) | 3:Matt Olson(1B) | 4:Mauricio Dubón(LF) | 5:Michael Harris II(CF) | 6:Lane Thomas(DH) | 7:Mike Yastrzemski(RF) | 8:Austin Riley(3B) | 9:Ha-Seong Kim(SS)
2026-08-27,823179,2026-08-28T01:45:00Z,Pre-Game,AZ,SF,0,703615,Jose Cabrera,694738,Landen Roupp,1:Lars Nootbaar(DH) | 2:Corbin Carroll(RF) | 3:Gabriel Moreno(C) | 4:Geraldo Perdomo(SS) | 5:Max Kepler(LF) | 6:Nolan Arenado(3B) | 7:Tim Tawa(1B) | 8:Ildemaro Vargas(2B) | 9:Ryan Waldschmidt(CF)
2026-08-27,823179,2026-08-28T01:45:00Z,Pre-Game,SF,AZ,1,694738,Landen Roupp,703615,Jose Cabrera,1:Drew Gilbert(RF) | 2:Rafael Devers(1B) | 3:Bryce Eldridge(DH) | 4:Jonah Cox(CF) | 5:Turner Hill(LF) | 6:Shay Whitcomb(3B) | 7:Drew Cavanaugh(C) | 8:Christian Koss(SS) | 9:Nate Furman(2B)
