date,game_pk,time_utc,status,team,opp,home,prob_sp_id,prob_sp,opp_sp_id,opp_sp,lineup
2026-09-01,824472,2026-09-01T22:40:00Z,Scheduled,SD,CIN,0,681190,Randy Vásquez,666157,Nick Lodolo,
2026-09-01,824472,2026-09-01T22:40:00Z,Scheduled,CIN,SD,1,666157,Nick Lodolo,681190,Randy Vásquez,
2026-09-01,823340,2026-09-01T22:40:00Z,Scheduled,SF,PIT,0,657277,Logan Webb,694973,Paul Skenes,
2026-09-01,823340,2026-09-01T22:40:00Z,Scheduled,PIT,SF,1,694973,Paul Skenes,657277,Logan Webb,
2026-09-01,822929,2026-09-01T22:40:00Z,Scheduled,NYM,TB,0,640455,Sean Manaea,642547,Freddy Peralta,
2026-09-01,822929,2026-09-01T22:40:00Z,Scheduled,TB,NYM,1,642547,Freddy Peralta,640455,Sean Manaea,
2026-09-01,824391,2026-09-01T22:40:00Z,Scheduled,TOR,CLE,0,681293,Spencer Arrighetti,668909,Gavin Williams,
2026-09-01,824391,2026-09-01T22:40:00Z,Scheduled,CLE,TOR,1,668909,Gavin Williams,681293,Spencer Arrighetti,
2026-09-01,824716,2026-09-01T22:45:00Z,Scheduled,SEA,BOS,0,693433,Bryan Woo,,,
2026-09-01,824716,2026-09-01T22:45:00Z,Scheduled,BOS,SEA,1,,,693433,Bryan Woo,
2026-09-01,822687,2026-09-01T22:45:00Z,Scheduled,ATL,WSH,0,700363,AJ Smith-Shawver,663623,Jake Irvin,
2026-09-01,822687,2026-09-01T22:45:00Z,Scheduled,WSH,ATL,1,663623,Jake Irvin,700363,AJ Smith-Shawver,
2026-09-01,823661,2026-09-01T23:40:00Z,Scheduled,DET,MIN,0,675512,Troy Melton,702193,Andrew Morris,
2026-09-01,823661,2026-09-01T23:40:00Z,Scheduled,MIN,DET,1,702193,Andrew Morris,675512,Troy Melton,
2026-09-01,824070,2026-09-01T23:40:00Z,Scheduled,MIA,KC,0,663969,Tyler Phillips,677976,Randy Dobnak,
2026-09-01,824070,2026-09-01T23:40:00Z,Scheduled,KC,MIA,1,677976,Randy Dobnak,663969,Tyler Phillips,
2026-09-01,824633,2026-09-01T23:40:00Z,Scheduled,MIL,CHC,0,688107,Robert Gasser,571510,Matthew Boyd,
2026-09-01,824633,2026-09-01T23:40:00Z,Scheduled,CHC,MIL,1,571510,Matthew Boyd,688107,Robert Gasser,
2026-09-01,822854,2026-09-02T00:05:00Z,Scheduled,ATH,TEX,0,669620,Brady Basso,669022,MacKenzie Gore,
2026-09-01,822854,2026-09-02T00:05:00Z,Scheduled,TEX,ATH,1,669022,MacKenzie Gore,669620,Brady Basso,
2026-09-01,824148,2026-09-02T00:10:00Z,Scheduled,CWS,HOU,0,680732,Sean Burke,669854,Ronel Blanco,
2026-09-01,824148,2026-09-02T00:10:00Z,Scheduled,HOU,CWS,1,669854,Ronel Blanco,680732,Sean Burke,
2026-09-01,824313,2026-09-02T00:40:00Z,Scheduled,BAL,COL,0,680694,Kyle Bradish,687312,Gabriel Hughes,
2026-09-01,824313,2026-09-02T00:40:00Z,Scheduled,COL,BAL,1,687312,Gabriel Hughes,680694,Kyle Bradish,
2026-09-01,823984,2026-09-02T01:38:00Z,Scheduled,NYY,LAA,0,543037,Gerrit Cole,680570,Grayson Rodriguez,
2026-09-01,823984,2026-09-02T01:38:00Z,Scheduled,LAA,NYY,1,680570,Grayson Rodriguez,543037,Gerrit Cole,
2026-09-01,825038,2026-09-02T01:40:00Z,Scheduled,PHI,AZ,0,666200,Jesús Luzardo,593958,Eduardo Rodriguez,
2026-09-01,825038,2026-09-02T01:40:00Z,Scheduled,AZ,PHI,1,593958,Eduardo Rodriguez,666200,Jesús Luzardo,
2026-09-01,823908,2026-09-02T02:10:00Z,Scheduled,STL,LAD,0,700241,Michael McGreevy,641778,Eric Lauer,
2026-09-01,823908,2026-09-02T02:10:00Z,Scheduled,LAD,STL,1,641778,Eric Lauer,700241,Michael McGreevy,
