date,slate_games,contest,entry_fee,draft_slot,P,P_score,bat1,bat1_score,bat2,bat2_score,bat3,bat3_score,bat4,bat4_score,bat5,bat5_score,n_under3,stack_team,stack_implied,stack_actual_runs,build_shape,ticket_score,cash_line,room_finish,overall_finish,payout,grade_a,grade_b,grade_c,notes
2026-08-20,Thu main (pre-freeze),,,,deGrom,,Altuve,,Seager,,Langford,,Henderson,,Ramos,,,HOU side of LAA 18 @ HOU 3,,3,,62,81,,T-1109,,,,,pre-freeze reference; per-player scores not logged
2026-08-20,Thu main (pre-freeze),,,,Lambert,,Rice,,Alonso,,Langford,,Varsho,,Lowe,,,,,,,38.67,81,,T-2349,,,,,pre-freeze reference; Lambert was the losing starter
2026-08-21,Fri late (pre-freeze),,,,Vasquez?,,Carroll,,Rodriguez,,Betts,,Perdomo,,Hernandez,,,,,,,76.67,71,,T-95,cashed,,,,"pre-freeze reference; Busch on ticket, P unclear from log"
2026-08-21,Fri late (pre-freeze),,,,Vasquez,,Freeman,,Machado,,Tucker,,Hernandez,,Merrill,,,,,,,26,71,,T-846,,,,,pre-freeze reference
2026-08-22,11 games,,,4,Soroka,0.33,Betts,5,Muncy,22,Langford,0,Nimmo,0,Tucker,13,2,TEX + LAD,"TEX ~4.6 (-158, O/U 8)","TEX 0, LAD 4",3+2+P,40.33,59,,T-1556,0,,N,,freeze slate 1
2026-08-22,11 games,,,5,Hunter Brown,8.67,Adell,23,Abreu,2,Machado,8,Altuve,0,Walker,8,2,HOU,"~4.8 (-235, O/U 8)",3,,49.67,59,,T-992,0,,N,,freeze slate 1
2026-08-23,10 games,,,2,Rodon,5,A. Ramirez,10,Caminero,10,H. Hernandez,11,Henderson,0,Trout,9,1,MIA pair + BAL/TB split,,"MIA 6, BAL 1",2+2+1+P,45.00,71,,T-2909,0,N,N,,freeze slate 2 (interleaved queue -> 4-game ticket)
2026-08-23,10 games,,,5,Baz,5.67,Alvarez,14,Harper,17,Basallo,0,Stott,0,Beavers,0,3,BAL + PHI pair,,BAL 1,3+2+P,36.67,71,,T-3492,0,,N,,freeze slate 2
2026-08-28,12-game main,Triple Play $3 (T1),3,,,,,,,,,,,,,,,,,,,,,7th,,60,,,,fill from slate-log-2026-08-28.md; $60 won
2026-08-28,12-game main,Fastball Friday $7 (F1),7,,,,Michael Harris,26,,,,,,,,,,,,,,,,T-374,,14,,,,"auto-swap pulled in Harris (O-tag swaps on Henderson, Cowser); $14 won"
2026-08-29,5-game early,,,,,,Pete Crow-Armstrong,53,Alex Bregman,30,Randy Arozarena,0,Leahy,5,,,,CHC,,17,,122,,,,,,,,"best logged ticket; winner 157; two swaps (Kelly 33, Soriano 15) would have won by 8 (report 4.3)"
2026-08-30,10-game Sun Main (Sunday Slider),Sunday Slider $10,10,3,Tyler Glasnow,17.0,Ozzie Albies,3.0,Sean Murphy,17.0,Austin Riley,8.0,Michael Harris II,7.0,Mauricio Dubon,6.0,0,ATL,4.85,3,5-stack ATL + ace from 3rd game,58.0,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,0,PASS,FAIL,PASS,T1. Glasnow 7IP/6K/1ER/W/QS was the ticket high. ATL 5-stack produced 41 on 3 team runs; Murphy (B7) 17 was the only 15+. Grade b fails on Albies 3 (B6) and Dubon 6 (B5).
2026-08-30,10-game Sun Main (Sunday Slider),Sunday Slider $10,10,6,Logan Gilbert,6.0,Brice Turang,11.0,Gary Sanchez,19.0,Jackson Chourio,10.0,Christian Yelich,3.0,Garrett Mitchell,8.0,0,MIL,4.55,4,5-stack MIL + ace from 3rd game,57.0,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,0,PASS,FAIL,FAIL,"T2. Gilbert 5IP/4K/3ER, no W/QS (SEA lost 0-7). MIL 5-stack 51 on 4 runs, zero bats under 3 but nothing over 19. Grade c fails: MIL 4.55 was not a top-two implied total on the sheet."
2026-08-30,"3-game Web Gem (BAL@ATH, PHI@LAA, CIN@CHC)",Web Gem $10,10,2,Shota Imanaga,3.0,Elly De La Cruz,11.0,Gunnar Henderson,47.0,Christian Encarnacion-Strand,0.0,Colton Cowser,0.0,Leody Taveras,0.0,3,BAL (4),5.53,8,4+1+P (Rule 7 conflict),61.0,"69 (sim, unconfirmed)",UNCONFIRMED,UNCONFIRMED,0,PASS,FAIL,PASS,"T3. Henderson (B3) 47 - top single-bat score of the day - and the ticket still lost. Three BAL zeros from slots 5, 6 and 9. Imanaga 6ER in 5IP = 3.00. Rule 7 violation stands (De La Cruz batted against own P). Duplicate row from live logging removed."
2026-08-30,"3-game Web Gem (BAL@ATH, PHI@LAA, CIN@CHC)",Web Gem $10,10,4,Chris Bassitt,6.67,Pete Alonso,13.0,Coby Mayo,18.0,Blaze Alexander,5.0,Christian Franklin,0.0,Pete Crow-Armstrong,28.0,1,BAL (4),5.53,8,4+1+P (same-side P),70.67,"69 (sim, unconfirmed)",UNCONFIRMED,UNCONFIRMED,0,PASS,FAIL,PASS,T4. Best ticket of the day. PCA 28 (2 HR) was the off-stack separator; the floor-guard names Alexander (5) and Franklin (0) cost roughly the margin. Bassitt got the W but 5ER = 6.67. Above the 69 sim cash line - needs leaderboard confirmation.
2026-08-30,"3-game Web Gem (BAL@ATH, PHI@LAA, CIN@CHC)",Web Gem $10,10,3,Zack Wheeler,16.0,Coby Mayo,18.0,Alex Bregman,8.0,Zack Gelof,8.0,Lawrence Butler,13.0,Carlos Cortes,0.0,1,ATH (3),4.97,5,3+1+1+P,63.0,"69 (sim, unconfirmed)",UNCONFIRMED,UNCONFIRMED,0,FAIL,FAIL,PASS,"T5. Cleanest execution, third-best score. Grade a fails: bats came from three games (ATH 3, BAL 1, CHC 1), not two. Wheeler 6IP/6K/1ER/W/QS = 16. Cortes (B7) 0 was the only hole."
2026-08-31,"7-game main (MIL@CHC, DET@MIN, ATH@TEX, CWS@HOU, BAL@COL, NYY@LAA, PHI@AZ)",Double Play $25 (Room 1),25,6,Aaron Nola,PENDING,Gunnar Henderson (BAL B3?),PENDING,Coby Mayo (BAL B4?),PENDING,Hunter Goodman (COL B3),PENDING,Dylan Beavers (BAL B5),PENDING,Mickey Moniak (COL B6),PENDING,PENDING,"BAL 3 + COL 2 (Coors both dugouts, total 11.0)",BAL 5.78 / COL 5.22,PENDING,"3+2+P (arm from 3rd game, PHI@AZ)",PENDING,PENDING,PENDING,PENDING,PENDING,,,,"T1. Picks 6-7/18-19/30-31; queue ran as designed - deGrom went at 5, arm ladder fell to Nola (-117, legal). Henderson/Mayo slots from projected card, not confirmed on screenshot. Score at final."
2026-08-31,"7-game main (MIL@CHC, DET@MIN, ATH@TEX, CWS@HOU, BAL@COL, NYY@LAA, PHI@AZ)",Double Play $25 (Room 2),25,6,"Kyle Bradish (AUTOPICK - Coors arm, Rule 1)",PENDING,William Contreras (MIL B4),PENDING,"Willi Castro (COL B5 - vs own P, Rule 7)",PENDING,Jackson Chourio (MIL B2),PENDING,Christian Yelich (MIL B5),PENDING,Josh Bell (MIN B5),PENDING,PENDING,MIL 3 + MIN 1 + COL 1,MIL 4.75 / MIN 4.45 / COL 5.22,PENDING,3+1+1+P (bats from 3 games),PENDING,PENDING,PENDING,PENDING,PENDING,,,,"T2. Queue arm ladder ran dry at the P slot (picks 30-31): Lambert (q21) and Harrison (q30) both gone, app autopicked Bradish. Rule 1 + Rule 7 violations on one ticket, process failure not rule change (O-30). Score at final."
2026-08-31,"7-game main (MIL@CHC, DET@MIN, ATH@TEX, CWS@HOU, BAL@COL, NYY@LAA, PHI@AZ)","Moonshot $7 (M1, 6,420 entries)",7,5,Colin Holmes (CHC),PENDING,"Pete Alonso (BAL - Q at draft, OUT; swap unconfirmed)",PENDING,"William Contreras (MIL B4 - vs own P, Rule 7)",PENDING,Jeremy Pena (HOU B1),PENDING,"Pete Crow-Armstrong (CHC B1, same-side)",PENDING,Dylan Beavers (BAL B5),PENDING,PENDING,"none (BAL 2 incl. Q, CHC 1, MIL 1, HOU 1)",,PENDING,"spread, 4 games",PENDING,PENDING,PENDING,PENDING,PENDING,,,,M1. Q filter not applied to the queue: Alonso flagged Q at 10:30a and still drafted at pick 8 (O-31). Contreras queued directly above Holmes -> Rule 7. Alonso slot = zero unless the swap pool covered it; needs Exposure screenshot. Score at final.
2026-08-31,"7-game main (MIL@CHC, DET@MIN, ATH@TEX, CWS@HOU, BAL@COL, NYY@LAA, PHI@AZ)","Moonshot $7 (M2, 6,420 entries)",7,,Kyle Harrison (MIL),PENDING,Hunter Goodman (COL B3),PENDING,Jackson Holliday (BAL B1),PENDING,TJ Rumfield (COL B4),PENDING,Yordan Alvarez (HOU B2),PENDING,Dylan Beavers (BAL B5),PENDING,PENDING,COL 2 + BAL 2 (Coors both dugouts) + HOU 1,COL 5.22 / BAL 5.78 / HOU 4.42,PENDING,2+2+1+P (arm from 3rd game),PENDING,PENDING,PENDING,PENDING,PENDING,,,,"M2. Cleanest ticket of the day: Q filter applied, arms every 4 queue slots, no same-side conflict. Draft slot not logged. Score at final."
