team,opp,home,venue,implied,total,win_prob,src,tier,tier_adj,opp_sp,opp_k9,opp_hr9,opp_hr9_shr,opp_era,opp_gs26,spot_starter,arm_bucket,park_runs_idx,park_p20_idx,arm_idx,mult,split_n,split_mean,split_p5,split_p9,split_p12,l15_mean,season_mean,lineup_posted,game_pk,run_est,stack_score,tier_rank
NYM,HOU,H,NYM,4.59,9.0,0.528,MARKET,B,A,Ethan Pecko,5.62,2.25,1.39,7.88,2,True,HIGH_HR,0.963,0.978,1.255,1.227,72,4.01,0.333,0.111,0.028,3.4,4.05,False,823580,4.59,6.03,0
ATL,COL,H,ATL,4.83,8.5,0.675,MARKET,A,A,Mason Adams,11.25,2.25,1.32,2.25,1,True,HIGH_HR,0.979,0.889,1.255,1.116,70,4.86,0.529,0.086,0.043,2.8,4.58,False,824876,4.83,5.77,0
MIN,CWS,H,MIN,4.33,8.5,0.525,MARKET,B,A,Jordan Hicks,11.02,0.68,0.95,3.82,1,True,LOW_HR,1.004,0.994,0.742,0.738,68,4.43,0.426,0.132,0.015,3.67,4.57,False,823662,4.33,3.42,0
HOU,NYM,A,NYM,4.41,9.0,0.472,MARKET,B,B,Zac Thornton,6.39,0.96,1.07,2.88,10,False,MID_HR,0.963,0.978,1.0,0.978,68,4.76,0.471,0.191,0.0,3.93,4.6,False,823580,4.41,4.31,1
MIL,TEX,H,MIL,4.58,8.5,0.603,MARKET,B,B,Kumar Rocker,8.31,1.28,1.27,4.41,23,False,MID_HR,0.978,0.926,1.0,0.926,71,5.27,0.507,0.127,0.07,5.47,4.95,False,823740,4.58,4.24,1
BOS,NYY,A,NYY,4.07,8.0,0.523,MARKET,C,C,Will Warren,8.93,1.42,1.37,4.39,25,False,HIGH_HR,0.973,1.034,1.255,1.298,69,4.49,0.449,0.101,0.014,5.13,4.55,False,823502,4.07,5.28,2
CWS,MIN,A,MIN,4.17,8.5,0.475,MARKET,C,C,Zebby Matthews,7.64,1.65,1.53,4.86,18,False,HIGH_HR,1.004,0.994,1.255,1.247,67,4.66,0.478,0.149,0.015,5.0,4.75,False,823662,4.17,5.2,2
SEA,TOR,A,TOR,4.18,8.0,0.559,MARKET,C,C,Max Scherzer,6.48,2.16,1.74,7.02,12,False,HIGH_HR,0.952,0.834,1.255,1.047,68,3.97,0.353,0.103,0.015,4.13,3.9,False,822766,4.18,4.38,2
PIT,STL,A,STL,4.07,8.0,0.524,MARKET,C,C,Matthew Liberatore,9.21,1.6,1.51,5.44,26,False,HIGH_HR,0.953,0.856,1.255,1.074,73,4.36,0.438,0.096,0.041,4.0,4.84,False,823010,4.07,4.37,2
TB,SD,H,TB,4.07,7.5,0.605,MARKET,C,C,Robbie Ray,7.68,1.2,1.2,3.21,25,False,MID_HR,0.989,0.978,1.0,0.978,68,4.57,0.515,0.074,0.029,4.13,4.49,False,822933,4.07,3.98,2
STL,PIT,H,STL,3.93,8.0,0.476,MARKET,C,C,Braxton Ashcraft,9.33,1.22,1.22,3.59,26,False,MID_HR,0.953,0.856,1.0,0.856,72,3.78,0.347,0.056,0.0,4.67,4.41,False,823010,3.93,3.36,2
COL,ATL,A,ATL,3.67,8.5,0.325,MARKET,C,C,Tyler Mahle,8.52,1.22,1.22,4.41,22,False,MID_HR,0.979,0.889,1.0,0.889,71,4.3,0.324,0.099,0.056,3.87,4.66,False,824876,3.67,3.26,2
TOR,SEA,H,TOR,3.82,8.0,0.441,MARKET,C,C,Logan Gilbert,9.39,1.22,1.22,3.36,26,False,MID_HR,0.952,0.834,1.0,0.834,70,3.84,0.357,0.043,0.014,4.13,3.94,False,822766,3.82,3.19,2
NYY,BOS,H,NYY,3.93,8.0,0.477,MARKET,C,C,Ranger Suarez,8.9,0.53,0.71,3.35,23,False,LOW_HR,0.973,1.034,0.742,0.767,68,4.46,0.412,0.162,0.044,3.47,4.39,False,823502,3.93,3.01,2
DET,LAD,H,DET,3.41,7.5,0.388,MARKET,C,C,Tyler Glasnow,11.28,1.01,1.11,3.02,8,False,MID_HR,0.931,0.828,1.0,0.828,68,4.28,0.397,0.103,0.015,3.07,4.4,False,824232,3.41,2.82,2
CLE,KC,H,CLE,4.15,7.5,0.631,MARKET,C,C,Seth Lugo,6.94,0.96,1.01,4.61,27,False,LOW_HR,0.956,0.89,0.742,0.66,69,4.0,0.391,0.058,0.014,4.0,4.0,False,824393,4.15,2.74,2
TEX,MIL,A,MIL,3.92,8.5,0.397,MARKET,C,C,Dustin May,8.54,0.65,0.79,4.56,25,False,LOW_HR,0.978,0.926,0.742,0.687,70,4.09,0.414,0.043,0.0,3.2,4.02,False,823740,3.92,2.69,2
LAD,DET,A,DET,4.09,7.5,0.612,MARKET,C,C,Framber Valdez,6.91,0.87,0.95,4.35,26,False,LOW_HR,0.931,0.828,0.742,0.614,70,5.44,0.486,0.214,0.114,3.8,4.9,False,824232,4.09,2.51,2
SD,TB,A,TB,3.43,7.5,0.395,MARKET,C,C,Drew Rasmussen,9.17,0.83,0.92,2.95,25,False,LOW_HR,0.989,0.978,0.742,0.726,67,4.54,0.478,0.075,0.015,4.0,4.25,False,822933,3.43,2.49,2
KC,CLE,A,CLE,3.35,7.5,0.369,MARKET,C,C,Parker Messick,9.06,0.81,0.9,2.5,26,False,LOW_HR,0.956,0.89,0.742,0.66,70,3.79,0.286,0.071,0.043,5.87,4.36,False,824393,3.35,2.21,2
