player,team,tier,slot,slot_group,pos,pos_class,lineup_src,adj_mean,mean_shr,mean_ud,l15_mean,p20,adj_p20,max_ud,starts,modal_slot,start_rate15,hr_per_start,zeros_rate,mult,stack_score,blocked,pid,elite_power,law_slot_rank,tier_rank,model_rank,law_rank
Christian Encarnacion-Strand,BAL,A,5,1,3B,IF,POSTED,13.98,8.03,8.97,9.13,0.207,0.36,29.0,29,5,0.87,0.276,0.241,1.741,9.63,False,687952,True,1,0,2,1
Gunnar Henderson,BAL,A,3,1,SS,IF,POSTED,13.67,7.85,7.99,9.07,0.081,0.141,32.0,136,3,0.93,0.147,0.199,1.741,9.63,False,683002,False,1,0,3,2
Coby Mayo,BAL,A,4,1,1B,IF,POSTED,12.6,7.24,7.19,9.0,0.042,0.073,25.0,95,4,0.87,0.179,0.274,1.741,9.63,False,691723,False,1,0,7,3
Leody Taveras,BAL,A,6,1,RF,OF,POSTED,12.38,7.11,7.02,7.2,0.069,0.12,25.0,102,9,0.93,0.059,0.225,1.741,9.63,False,665750,False,1,0,8,4
Pete Alonso,BAL,A,2,2,DH,DH?,POSTED,15.62,8.97,9.44,10.8,0.13,0.226,43.0,138,2,1.0,0.225,0.138,1.741,9.63,False,624413,True,2,0,1,5
Blaze Alexander,BAL,A,1,2,2B,IF,POSTED,12.62,7.25,7.18,7.67,0.045,0.078,33.0,66,8,0.07,0.061,0.273,1.741,9.63,False,677942,False,3,0,6,6
Christian Franklin,BAL,A,7,3,LF,OF,POSTED,11.98,6.88,5.0,5.0,0.0,0.0,13.0,10,7,0.47,0.0,0.3,1.741,9.63,False,681047,False,4,0,9,7
Colton Cowser,BAL,A,9,3,CF,OF,POSTED,11.35,6.52,6.1,8.07,0.05,0.087,28.0,80,8,0.53,0.138,0.3,1.741,9.63,False,681297,False,4,0,11,8
Carlos Narváez,BAL,A,8,3,C,IF,POSTED,9.23,5.3,4.15,1.73,0.042,0.073,26.0,72,9,0.6,0.056,0.361,1.741,9.63,False,665966,False,4,0,24,9
Zack Gelof,ATH,A,3,1,3B,IF,POSTED,11.33,8.17,8.6,7.8,0.091,0.126,28.0,77,3,1.0,0.182,0.156,1.387,6.89,False,680869,True,1,0,12,10
Lawrence Butler,ATH,A,4,1,RF,OF,POSTED,10.39,7.49,7.55,10.33,0.043,0.06,30.0,93,4,1.0,0.118,0.183,1.387,6.89,False,671732,False,1,0,13,11
Donovan Walton,ATH,A,5,1,2B,IF,POSTED,10.15,7.32,7.28,7.47,0.0,0.0,18.0,46,8,0.73,0.087,0.174,1.387,6.89,False,622268,False,1,0,18,12
Tommy White,ATH,A,6,1,1B,IF,POSTED,8.71,6.28,5.06,5.73,0.0,0.0,19.0,35,5,0.87,0.057,0.343,1.387,6.89,False,695720,False,1,0,28,13
Henry Bolte,ATH,A,1,2,CF,OF,POSTED,10.13,7.3,7.27,9.27,0.024,0.033,32.0,84,1,1.0,0.071,0.179,1.387,6.89,False,703607,False,3,0,20,14
Jeff McNeil,ATH,A,2,2,DH,DH?,POSTED,9.24,6.66,6.37,9.73,0.02,0.028,33.0,99,2,0.8,0.061,0.222,1.387,6.89,False,643446,False,3,0,23,15
Brian Serven,ATH,A,8,3,C,IF,POSTED,10.25,7.39,7.5,7.5,0.083,0.115,21.0,12,9,0.4,0.333,0.25,1.387,6.89,False,661531,True,4,0,17,16
Carlos Cortes,ATH,A,7,3,LF,OF,POSTED,9.76,7.04,6.88,6.33,0.067,0.093,32.0,75,8,0.8,0.107,0.213,1.387,6.89,False,666126,False,4,0,22,17
Alika Williams,ATH,A,9,3,SS,IF,POSTED,8.74,6.3,5.25,2.93,0.025,0.035,22.0,40,9,0.4,0.05,0.325,1.387,6.89,False,675961,False,4,0,27,18
Alex Bregman,CHC,A,3,1,3B,IF,MODAL(last10),7.34,8.47,8.8,9.4,0.097,0.084,56.0,134,3,1.0,0.157,0.134,0.867,4.16,False,608324,False,1,0,34,19
Ian Happ,CHC,A,5,1,LF,OF,MODAL(last10),7.14,8.24,8.52,10.73,0.109,0.095,33.0,128,5,0.8,0.188,0.164,0.867,4.16,False,664023,False,1,0,37,20
Michael Busch,CHC,A,4,1,1B,IF,MODAL(last10),6.96,8.03,8.24,8.27,0.096,0.083,27.0,136,4,0.93,0.132,0.199,0.867,4.16,False,683737,False,1,0,39,21
Nico Hoerner,CHC,A,5,1,SS,IF,MODAL(last10),6.62,7.63,7.71,5.33,0.082,0.071,34.0,134,5,0.93,0.052,0.149,0.867,4.16,False,663538,False,1,0,41,22
Pete Crow-Armstrong,CHC,A,1,2,CF,OF,MODAL(last10),9.13,10.53,11.45,13.53,0.181,0.157,53.0,138,1,1.0,0.261,0.167,0.867,4.16,False,691718,True,2,0,26,23
Seiya Suzuki,CHC,A,2,2,DH,DH?,MODAL(last10),8.04,9.27,9.93,11.87,0.147,0.127,34.0,116,2,1.0,0.198,0.181,0.867,4.16,False,673548,True,2,0,31,24
Pedro Ramírez,CHC,A,7,3,2B,IF,MODAL(last10),6.99,8.06,8.78,9.47,0.15,0.13,32.0,40,7,0.93,0.1,0.225,0.867,4.16,False,699393,False,4,0,38,25
Carson Kelly,CHC,A,9,3,C,IF,MODAL(last10),6.48,7.47,7.52,8.73,0.071,0.062,37.0,84,9,0.6,0.095,0.202,0.867,4.16,False,608348,False,4,0,43,26
Michael Conforto,CHC,A,8,3,DH,DH?,MODAL(last10),6.08,7.01,6.77,6.13,0.07,0.061,42.0,57,8,0.67,0.14,0.368,0.867,4.16,False,624424,False,4,0,48,27
Dane Myers,CIN,C,3,1,CF,OF,MODAL(last10),10.38,7.08,6.87,5.53,0.037,0.054,29.0,54,3,0.73,0.093,0.204,1.466,6.16,False,667472,False,1,2,14,28
Matt McLain,CIN,C,6,1,SS,IF,MODAL(last10),10.26,7.0,6.87,7.13,0.115,0.169,35.0,104,6,1.0,0.125,0.288,1.466,6.16,False,680574,False,1,2,15,29
Tyler Stephenson,CIN,C,4,1,DH,DH?,MODAL(last10),10.14,6.92,6.74,7.53,0.061,0.089,36.0,98,4,0.73,0.122,0.265,1.466,6.16,False,663886,False,1,2,19,30
Eugenio Suárez,CIN,C,5,1,3B,IF,MODAL(last10),10.13,6.91,6.74,6.13,0.095,0.139,36.0,105,5,0.93,0.171,0.257,1.466,6.16,False,553993,False,1,2,21,31
Sal Stewart,CIN,C,2,2,1B,IF,MODAL(last10),13.27,9.05,9.54,9.67,0.123,0.18,36.0,138,2,1.0,0.225,0.152,1.466,6.16,False,701398,True,2,2,5,32
Elly De La Cruz,CIN,C,1,2,SS,IF,MODAL(last10),13.4,9.14,9.74,8.87,0.117,0.172,43.0,120,1,1.0,0.175,0.183,1.466,6.16,False,682829,False,3,2,4,33
JJ Bleday,CIN,C,7,3,LF,OF,MODAL(last10),11.64,7.94,8.16,6.33,0.104,0.152,39.0,106,7,0.93,0.198,0.226,1.466,6.16,False,668709,True,4,2,10,34
Héctor Rodríguez,CIN,C,8,3,RF,OF,MODAL(last10),10.26,7.0,6.12,6.2,0.062,0.091,25.0,16,7,0.6,0.125,0.25,1.466,6.16,False,699302,False,4,2,16,35
Jose Trevino,CIN,C,8,3,P,DH?,MODAL(last10),9.15,6.24,5.0,3.67,0.056,0.082,31.0,36,7,0.53,0.139,0.444,1.466,6.16,False,624431,False,4,2,25,36
Ke'Bryan Hayes,CIN,C,9,3,3B,IF,MODAL(last10),7.48,5.1,3.69,3.47,0.016,0.023,22.0,64,9,0.6,0.078,0.453,1.466,6.16,False,663647,False,4,2,33,37
Vaughn Grissom,LAA,C,4,1,1B,IF,MODAL(last10),7.27,7.35,7.35,7.0,0.072,0.071,30.0,83,4,0.93,0.108,0.181,0.989,3.36,False,687093,False,1,2,35,38
Jose Siri,LAA,C,5,1,LF,OF,MODAL(last10),6.74,6.82,6.31,5.4,0.071,0.07,20.0,42,5,0.53,0.119,0.357,0.989,3.36,False,642350,False,1,2,40,39
Moisés Ballesteros,LAA,C,5,1,DH,DH?,MODAL(last10),5.92,5.99,5.19,4.47,0.059,0.058,24.0,68,5,0.8,0.088,0.309,0.989,3.36,False,694208,False,1,2,50,40
Mike Trout,LAA,C,2,2,CF,OF,MODAL(last10),8.63,8.73,9.21,6.47,0.128,0.127,36.0,117,2,1.0,0.171,0.145,0.989,3.36,False,545361,True,2,2,29,41
Zach Neto,LAA,C,1,2,SS,IF,MODAL(last10),8.61,8.71,9.12,11.4,0.122,0.121,43.0,131,1,0.93,0.176,0.221,0.989,3.36,False,687263,True,2,2,30,42
Christian Moore,LAA,C,8,3,2B,IF,MODAL(last10),6.53,6.6,4.08,4.08,0.0,0.0,17.0,12,6,0.47,0.083,0.25,0.989,3.36,False,695681,False,4,2,42,43
Denzer Guzman,LAA,C,8,3,3B,IF,MODAL(last10),6.47,6.54,5.95,4.93,0.018,0.018,26.0,55,8,0.87,0.091,0.2,0.989,3.36,False,694203,False,4,2,44,44
Josh Lowe,LAA,C,7,3,RF,OF,MODAL(last10),5.91,5.98,5.24,5.2,0.027,0.027,24.0,75,7,0.8,0.133,0.32,0.989,3.36,False,666139,False,4,2,51,45
Bryce Harper,PHI,C,3,1,RF,OF,MODAL(last10),7.19,9.13,9.65,10.93,0.103,0.081,38.0,136,3,1.0,0.199,0.169,0.788,3.23,False,547180,True,1,2,36,46
Luis Arraez,PHI,C,4,1,2B,IF,MODAL(last10),6.27,7.96,8.15,7.0,0.047,0.037,32.0,128,4,0.93,0.047,0.141,0.788,3.23,False,650333,False,1,2,45,47
Bryson Stott,PHI,C,6,1,3B,IF,MODAL(last10),6.19,7.85,8.01,6.6,0.056,0.044,37.0,124,6,0.93,0.073,0.202,0.788,3.23,False,681082,False,1,2,47,48
Alec Bohm,PHI,C,5,1,1B,IF,MODAL(last10),5.72,7.26,7.24,10.87,0.102,0.08,38.0,127,5,0.93,0.11,0.197,0.788,3.23,False,664761,False,1,2,52,49
Kyle Schwarber,PHI,C,1,2,DH,DH?,MODAL(last10),7.53,9.55,10.23,9.6,0.146,0.115,53.0,130,1,1.0,0.315,0.146,0.788,3.23,False,656941,True,2,2,32,50
Trea Turner,PHI,C,2,2,SS,IF,MODAL(last10),6.26,7.94,8.12,6.0,0.061,0.048,40.0,131,2,0.93,0.137,0.198,0.788,3.23,False,607208,False,3,2,46,51
Brandon Marsh,PHI,C,7,3,LF,OF,MODAL(last10),6.08,7.71,7.83,6.6,0.083,0.065,36.0,120,7,0.8,0.142,0.192,0.788,3.23,False,669016,False,4,2,49,52
J.T. Realmuto,PHI,C,8,3,C,IF,MODAL(last10),5.25,6.66,6.37,5.73,0.051,0.04,33.0,99,8,0.87,0.091,0.283,0.788,3.23,False,592663,False,4,2,53,53
