venue,team_games,runs_idx,p20_idx,raw_p20
ATH,134,1.231,1.387,0.1119
ATL,140,0.979,0.889,0.0603
AZ,138,1.01,1.039,0.0757
BAL,140,0.995,0.935,0.0651
BOS,136,0.968,0.938,0.0654
CHC,136,1.053,1.168,0.0891
CIN,142,0.976,1.095,0.0814
CLE,138,0.956,0.89,0.0604
COL,132,1.181,1.396,0.1131
CWS,138,0.999,0.937,0.0652
DET,136,0.931,0.828,0.054
HOU,136,1.032,1.128,0.085
KC,134,1.06,1.076,0.0796
LAA,140,0.912,0.788,0.05
LAD,132,0.953,0.998,0.0715
MIA,136,0.93,0.916,0.063
MIL,142,0.978,0.926,0.0642
MIN,136,1.004,0.994,0.0711
NYM,144,0.963,0.978,0.0694
NYY,136,0.973,1.034,0.0752
PHI,138,1.059,0.969,0.0685
PIT,134,1.117,1.1,0.0821
SD,138,0.904,0.929,0.0645
SEA,136,0.902,0.986,0.0703
SF,138,0.964,0.859,0.0572
STL,144,0.953,0.856,0.0571
TB,136,0.989,0.978,0.0695
TEX,130,0.923,0.936,0.065
TOR,140,0.952,0.834,0.0548
WSH,136,1.165,1.247,0.0972
